"mean","25%","75%","parameter","int.mean","int.25","int.75","2.5%","97.5%","int2.5","int97.5"
8.3,6.57,10.03,"intercept[1]",8.3,6.57,10.03,3.27,13.28,3.27,13.28
10.61,8.95,12.31,"intercept[2]",10.61,8.95,12.31,5.83,15.35,5.83,15.35
46.83,45.07,48.58,"intercept[3]",46.83,45.07,48.58,41.73,51.95,41.73,51.95
9.23,7.33,11.17,"intercept[4]",9.23,7.33,11.17,3.59,14.77,3.59,14.77
6.83,2.69,10.96,"increment1M2[1]",8.3,6.57,10.03,-4.99,18.6,3.27,13.28
10.04,5.98,14.16,"increment1M2[2]",10.61,8.95,12.31,-1.57,21.51,5.83,15.35
12.86,8.53,17.1,"increment1M2[3]",46.83,45.07,48.58,0.57,25.23,41.73,51.95
8.83,4.22,13.46,"increment1M2[4]",9.23,7.33,11.17,-4.4,22.25,3.59,14.77
1.92,-2.22,5.98,"increment2M3[1]",8.3,6.57,10.03,-10.04,13.88,3.27,13.28
4.12,-0.0100000000000016,8.24,"increment2M3[2]",10.61,8.95,12.31,-7.62,15.84,5.83,15.35
0.519999999999996,-3.71,4.76,"increment2M3[3]",46.83,45.07,48.58,-11.86,12.78,41.73,51.95
4.75,0.14,9.36,"increment2M3[4]",9.23,7.33,11.17,-8.85,18.54,3.59,14.77
1.47,-2.63,5.62,"increment3M4[1]",8.3,6.57,10.03,-10.51,13.59,3.27,13.28
6.52,2.41,10.64,"increment3M4[2]",10.61,8.95,12.31,-5.21,18.28,5.83,15.35
0.559999999999995,-3.65,4.77,"increment3M4[3]",46.83,45.07,48.58,-11.84,12.76,41.73,51.95
3.22,-1.42,7.85,"increment3M4[4]",9.23,7.33,11.17,-10.46,16.8,3.59,14.77
1.47,-2.63,5.62,"increment4M8[1]",8.3,6.57,10.03,-10.51,13.59,3.27,13.28
6.52,2.41,10.64,"increment4M8[2]",10.61,8.95,12.31,-5.21,18.28,5.83,15.35
0.559999999999995,-3.65,4.77,"increment4M8[3]",46.83,45.07,48.58,-11.84,12.76,41.73,51.95
3.22,-1.42,7.85,"increment4M8[4]",9.23,7.33,11.17,-10.46,16.8,3.59,14.77
1.47,-2.63,5.62,"increment8Mpith[1]",8.3,6.57,10.03,-10.51,13.59,3.27,13.28
6.52,2.41,10.64,"increment8Mpith[2]",10.61,8.95,12.31,-5.21,18.28,5.83,15.35
0.559999999999995,-3.65,4.77,"increment8Mpith[3]",46.83,45.07,48.58,-11.84,12.76,41.73,51.95
3.22,-1.42,7.85,"increment8Mpith[4]",9.23,7.33,11.17,-10.46,16.8,3.59,14.77
