"","mean","sd","25%","75%","2.5%","97.5%"
"$\mu_{\alpha}$",13.174131379077,5.37828790183287,10.0368990328886,16.2563905838201,0.454092106765379,26.2043137682828
"$\mu_{increment 1-2}$",-5.9955865667283,4.2296493529477,-8.66317098572899,-3.51860409441028,-15.952555599977,4.57609541421206
"$\mu_{increment 2-3}$",-10.5921096036924,4.97468793966403,-13.8854228271666,-7.74257402715982,-21.0170353270099,2.11809578741116
"$\mu_{increment 3-4}$",-9.76493844659993,5.20992997971805,-13.425979136359,-6.5469171306467,-20.4200921008122,3.02027667178538
"$\mu_{increment 4-8}$",-11.1122342327737,4.86659850176419,-14.3206372419713,-8.22107696983888,-20.5964689859347,1.77016260272309
"$\mu_{increment 8-pith}$",-11.4484928006924,4.89649886953557,-14.766359129351,-8.60800474082342,-21.1600647524609,1.28621387265099
"$\mu_{\alphaSpring}$",-3.72797282618798,5.51129145216404,-7.12349211017726,-0.465331317811524,-16.702203380939,9.10986819876884
"$\mu_{\alphaSummer}$",4.4529739904897,5.54731180328382,1.0442463003551,7.9295535276669,-8.71644971500976,17.6106986980122
"$\mu_{\alphaAutumn}$",21.3347155247222,5.76917822983045,17.7185213699237,24.7281028094719,8.00595052904232,34.8194309643804
"$\mu_{\alphaWinter}$",-5.19440346573003,5.60328790245504,-8.68438883150622,-1.83957437731096,-18.3103350171989,8.31244211451317
"$\mu_{\increment 1-2Spring}$",3.68748194899582,4.54045966378588,0.993735911073802,6.45859746604226,-7.5922507889415,14.9908944211999
"$\mu_{\increment 1-2Summer}$",-3.21388080900663,4.56780938450239,-5.92570233651734,-0.281460096871714,-14.5492701266978,7.22292844424923
"$\mu_{\increment 1-2Autumn}$",-15.1099478967446,5.02034263043942,-18.223983397941,-11.7986286474169,-27.4251696984128,-4.38753269279681
"$\mu_{\increment 1-2Winter}$",0.64112552006527,4.63874801557173,-2.16672078029217,3.6903311243575,-10.9037612435962,10.7504968357693
"$\mu_{\increment 2-3Spring}$",1.39744284437574,5.32873629323072,-1.73535827657898,4.79413943281057,-11.8109838838598,12.6725920680873
"$\mu_{\increment 2-3Summer}$",-4.60333095834111,5.30273175310281,-7.82155612976524,-1.06945909562032,-18.08547955002,6.68022143249569
"$\mu_{\increment 2-3Autumn}$",-23.3893983449564,5.79403354749946,-26.9941235124949,-19.40230477641,-37.7661394379076,-11.6270434641677
"$\mu_{\increment 2-3Winter}$",2.81148180057554,5.38839022502377,-0.452962804064408,6.37428641116146,-10.2949147841914,13.7488135491661
"$\mu_{\increment 3-4Spring}$",0.502875043068276,5.57183736420052,-2.78097010424966,4.35274593777504,-13.8491013729273,12.0252274596764
"$\mu_{\increment 3-4Summer}$",-2.26090500504702,5.55600456885785,-5.73229463610893,1.62724964102099,-16.3605013868278,9.38356202179329
"$\mu_{\increment 3-4Autumn}$",-24.1684457475393,5.89863170416462,-27.7098848175223,-20.1444332552187,-38.9429823984864,-11.9048164867223
"$\mu_{\increment 3-4Winter}$",1.90788003883878,5.53984566271454,-1.76257196942219,5.85618896078708,-11.8048160114822,13.345933337816
"$\mu_{\increment 4-8Spring}$",1.90561762066794,5.19391618636997,-1.25661764909855,5.39336549377219,-11.3574277775689,12.9607666969643
"$\mu_{\increment 4-8Summer}$",-5.99252208856468,5.27628965994842,-9.11265088163221,-2.5514836826986,-20.0363612822089,4.8983255499278
"$\mu_{\increment 4-8Autumn}$",-21.795038152147,5.6505508590957,-25.2605818149928,-18.0270584550269,-36.2326959731443,-9.97527847887545
"$\mu_{\increment 4-8Winter}$",3.14061048510515,5.35541707796422,-0.0278177223061233,6.69534223924007,-9.97172113042677,14.4078844031588
"$\mu_{\increment 8-pithSpring}$",1.89736680914424,5.15972198576046,-1.25863909103351,5.37292043705798,-11.1584374185683,13.1907505961603
"$\mu_{\increment 8-pithSummer}$",-5.93264056129633,5.41956954688434,-9.05184747160294,-2.29521742304354,-20.2603354498323,4.77224432016895
"$\mu_{\increment 8-pithAutumn}$",-22.5291506651396,5.83597495886749,-26.13640909304,-18.4824157206022,-36.4122201772615,-10.7978417728902
"$\mu_{\increment 8-pithWinter}$",3.04458878440772,5.40780552988141,-0.26842352267665,6.67991882558423,-10.6521739906274,14.1277381268087
